Company:,Ride Hailing Data,,,,,,
Date:,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD3802,MG Road,7:33 AM,00:19:00,Non-Peak Time,Yes,5,14
RD3803,MG Road,6:40 AM,00:15:00,Non-Peak Time,Yes,3,12
RD3804,MG Road,7:34 AM,00:14:00,Non-Peak Time,Yes,3,11
RD3805,MG Road,5:32 AM,00:09:00,Non-Peak Time,Yes,2,7
RD3806,MG Road,6:58 AM,00:05:00,Non-Peak Time,No,2,0
RD3807,MG Road,7:12 AM,00:05:00,Non-Peak Time,No,4,0
RD3808,MG Road,5:08 AM,00:24:00,Non-Peak Time,Yes,5,19
RD3809,MG Road,6:49 AM,00:17:00,Non-Peak Time,Yes,3,14
RD3810,MG Road,5:19 AM,00:17:00,Non-Peak Time,Yes,3,14
RD3811,MG Road,8:47 AM,00:23:00,Peak Time,Yes,8,15
RD3812,MG Road,10:37 AM,00:29:00,Peak Time,Yes,10,19
RD3813,MG Road,9:31 AM,00:32:00,Peak Time,Yes,8,24
RD3814,MG Road,10:34 AM,00:17:00,Peak Time,Yes,4,13
RD3815,MG Road,8:18 AM,00:16:00,Peak Time,No,10,0
RD3816,MG Road,8:02 AM,00:28:00,Peak Time,Yes,6,22
RD3817,MG Road,9:42 AM,00:16:00,Peak Time,Yes,4,12
RD3818,MG Road,8:13 AM,00:18:00,Peak Time,No,6,0
RD3819,MG Road,9:20 AM,00:21:00,Peak Time,No,6,0
RD3820,MG Road,9:36 AM,00:15:00,Peak Time,Yes,3,12
RD3821,MG Road,8:03 AM,00:27:00,Peak Time,Yes,5,22
RD3822,MG Road,9:08 AM,00:19:00,Peak Time,Yes,4,15
RD3823,MG Road,8:50 AM,00:24:00,Peak Time,Yes,8,16
RD3824,MG Road,10:39 AM,00:29:00,Peak Time,Yes,6,23
RD3825,MG Road,10:06 AM,00:52:00,Peak Time,Yes,13,39
RD3826,MG Road,10:38 AM,00:20:00,Peak Time,No,9,0
RD3827,MG Road,10:23 AM,00:19:00,Peak Time,No,11,0
RD3828,MG Road,8:28 AM,00:20:00,Peak Time,Yes,4,16
RD3829,MG Road,10:12 AM,00:28:00,Peak Time,Yes,7,21
RD3830,MG Road,10:58 AM,00:29:00,Peak Time,Yes,7,22
RD3831,MG Road,9:03 AM,00:17:00,Peak Time,Yes,4,13
RD3832,MG Road,8:17 AM,00:23:00,Peak Time,No,7,0
RD3833,MG Road,9:01 AM,00:19:00,Peak Time,Yes,4,15
RD3834,MG Road,9:50 AM,00:15:00,Peak Time,No,5,0
RD3835,MG Road,9:12 AM,00:27:00,Peak Time,Yes,9,18
RD3836,MG Road,9:00 AM,00:18:00,Peak Time,No,9,0
RD3837,MG Road,10:32 AM,00:15:00,Peak Time,Yes,4,11
RD3838,MG Road,10:10 AM,00:26:00,Peak Time,Yes,5,21
RD3839,MG Road,9:43 AM,00:20:00,Peak Time,Yes,5,15
RD3840,MG Road,9:06 AM,00:27:00,Peak Time,Yes,5,22
RD3841,MG Road,10:26 AM,00:26:00,Peak Time,Yes,9,17
RD3842,MG Road,9:28 AM,00:18:00,Peak Time,Yes,6,12
RD3843,MG Road,10:07 AM,00:23:00,Peak Time,Yes,8,15
RD3844,MG Road,9:40 AM,00:22:00,Peak Time,Yes,7,15
RD3845,MG Road,10:13 AM,00:50:00,Peak Time,Yes,17,33
RD3846,MG Road,8:42 AM,00:20:00,Peak Time,Yes,7,13
RD3847,MG Road,12:23 PM,00:18:00,Non-Peak Time,Yes,6,12
RD3848,MG Road,11:38 AM,00:07:00,Non-Peak Time,Yes,2,5
RD3849,MG Road,12:35 PM,00:14:00,Non-Peak Time,Yes,5,9
RD3850,MG Road,12:07 PM,00:14:00,Non-Peak Time,Yes,3,11
RD3851,MG Road,11:48 AM,00:14:00,Non-Peak Time,Yes,5,9
RD3852,MG Road,11:19 AM,00:18:00,Non-Peak Time,Yes,5,13
RD3853,MG Road,1:14 PM,00:18:00,Non-Peak Time,Yes,4,14
RD3854,MG Road,12:10 PM,00:08:00,Non-Peak Time,Yes,2,6
RD3855,MG Road,12:05 PM,00:05:00,Non-Peak Time,Yes,2,3
RD3856,MG Road,2:42 PM,00:16:00,Non-Peak Time,Yes,4,12
RD3857,MG Road,12:10 PM,00:11:00,Non-Peak Time,Yes,2,9
RD3858,MG Road,1:43 PM,00:17:00,Non-Peak Time,Yes,4,13
RD3859,MG Road,5:30 PM,00:26:00,Peak Time,No,13,0
RD3860,MG Road,7:46 PM,00:29:00,Peak Time,No,7,0
RD3861,MG Road,4:32 PM,00:22:00,Peak Time,Yes,7,15
RD3862,MG Road,7:17 PM,00:29:00,Peak Time,Yes,6,23
RD3863,MG Road,5:05 PM,00:17:00,Peak Time,No,6,0
RD3864,MG Road,7:05 PM,00:19:00,Peak Time,Yes,5,14
RD3865,MG Road,4:37 PM,00:26:00,Peak Time,No,10,0
RD3866,MG Road,5:34 PM,00:19:00,Peak Time,No,6,0
RD3867,MG Road,8:44 PM,00:29:00,Non-Peak Time,Yes,10,19
RD3868,MG Road,5:54 PM,00:26:00,Peak Time,Yes,7,19
RD3869,MG Road,7:41 PM,00:26:00,Peak Time,Yes,5,21
RD3870,MG Road,8:04 PM,00:20:00,Non-Peak Time,Yes,7,13
RD3871,MG Road,7:31 PM,00:52:00,Peak Time,Yes,13,39
RD3872,MG Road,6:50 PM,00:25:00,Peak Time,Yes,5,20
RD3873,MG Road,4:43 PM,00:19:00,Peak Time,Yes,5,14
RD3874,MG Road,9:31 PM,00:20:00,Non-Peak Time,Yes,7,13
RD3875,MG Road,7:06 PM,00:25:00,Peak Time,No,12,0
RD3876,MG Road,8:38 PM,00:17:00,Non-Peak Time,Yes,6,11
RD3877,MG Road,4:17 PM,00:29:00,Peak Time,No,9,0
RD3878,MG Road,6:17 PM,00:16:00,Peak Time,Yes,4,12
RD3879,MG Road,7:56 PM,00:29:00,Peak Time,Yes,7,22
RD3880,MG Road,8:09 PM,00:24:00,Non-Peak Time,Yes,5,19
RD3881,MG Road,5:50 PM,00:15:00,Peak Time,No,8,0
RD3882,MG Road,9:47 PM,00:27:00,Non-Peak Time,Yes,9,18
RD3883,MG Road,9:18 PM,00:15:00,Non-Peak Time,Yes,3,12
RD3884,MG Road,5:54 PM,00:24:00,Peak Time,Yes,5,19
RD3885,MG Road,6:09 PM,00:18:00,Peak Time,No,5,0
RD3886,MG Road,9:43 PM,00:26:00,Non-Peak Time,Yes,5,21
RD3887,MG Road,4:23 PM,00:21:00,Peak Time,No,9,0
RD3888,MG Road,8:05 PM,00:17:00,Non-Peak Time,Yes,6,11
RD3889,MG Road,4:53 PM,00:21:00,Peak Time,Yes,5,16
RD3890,MG Road,5:01 PM,00:25:00,Peak Time,No,11,0
RD3891,MG Road,7:35 PM,00:17:00,Peak Time,Yes,6,11
RD3892,MG Road,7:43 PM,00:23:00,Peak Time,No,11,0
RD3893,MG Road,7:34 PM,00:22:00,Peak Time,No,6,0
RD3894,MG Road,9:15 PM,00:22:00,Non-Peak Time,Yes,6,16
RD3895,MG Road,6:23 PM,00:22:00,Peak Time,Yes,4,18
RD3896,MG Road,10:10 PM,00:18:00,Non-Peak Time,Yes,6,12
RD3897,MG Road,12:18 AM,00:16:00,Non-Peak Time,No,5,0
RD3898,MG Road,11:54 PM,00:09:00,Non-Peak Time,Yes,2,7
RD3899,MG Road,3:24 AM,00:10:00,Non-Peak Time,Yes,2,8
RD3900,MG Road,11:51 PM,00:06:00,Non-Peak Time,Yes,1,5
RD3901,MG Road,1:15 AM,00:08:00,Non-Peak Time,No,5,0
RD3902,MG Road,3:33 AM,00:18:00,Non-Peak Time,Yes,6,12
RD3903,MG Road,2:43 AM,00:10:00,Non-Peak Time,No,7,0
RD3904,MG Road,4:22 AM,00:09:00,Non-Peak Time,Yes,2,7
RD3905,MG Road,10:55 PM,00:12:00,Non-Peak Time,Yes,4,8
RD3906,MG Road,2:47 AM,00:09:00,Non-Peak Time,Yes,3,6
RD3907,MG Road,4:59 AM,00:12:00,Non-Peak Time,Yes,4,8
RD3908,MG Road,12:29 AM,00:08:00,Non-Peak Time,No,6,0
RD3909,MG Road,4:04 AM,00:18:00,Non-Peak Time,Yes,4,14
RD3910,MG Road,4:26 AM,00:06:00,Non-Peak Time,Yes,2,4
RD3911,MG Road,1:16 AM,00:19:00,Non-Peak Time,Yes,6,13
RD3912,MG Road,6:02 AM,00:15:00,Non-Peak Time,Yes,4,11
RD3913,MG Road,6:43 AM,00:12:00,Non-Peak Time,Yes,2,10
RD3914,MG Road,6:18 AM,00:18:00,Non-Peak Time,Yes,5,13
RD3915,MG Road,5:13 AM,00:07:00,Non-Peak Time,No,6,0
RD3916,MG Road,7:25 AM,00:09:00,Non-Peak Time,No,4,0
RD3917,MG Road,5:28 AM,00:17:00,Non-Peak Time,Yes,3,14
RD3918,MG Road,7:44 AM,00:06:00,Non-Peak Time,No,6,0
RD3919,MG Road,7:10 AM,00:13:00,Non-Peak Time,Yes,3,10
RD3920,MG Road,5:00 AM,00:11:00,Non-Peak Time,Yes,2,9
RD3921,MG Road,7:59 AM,00:08:00,Non-Peak Time,Yes,3,5
RD3922,MG Road,7:11 AM,00:18:00,Non-Peak Time,Yes,6,12
RD3923,MG Road,7:37 AM,00:16:00,Non-Peak Time,No,6,0
RD3924,MG Road,6:00 AM,00:10:00,Non-Peak Time,Yes,2,8
RD3925,MG Road,6:07 AM,00:12:00,Non-Peak Time,Yes,3,9
RD3926,MG Road,10:41 AM,00:21:00,Peak Time,Yes,4,17
RD3927,MG Road,8:18 AM,00:15:00,Peak Time,No,7,0
RD3928,MG Road,10:00 AM,00:27:00,Peak Time,Yes,7,20
RD3929,MG Road,9:55 AM,00:21:00,Peak Time,Yes,4,17
RD3930,MG Road,8:52 AM,00:22:00,Peak Time,No,8,0
RD3931,MG Road,9:42 AM,00:26:00,Peak Time,Yes,5,21
RD3932,MG Road,9:58 AM,00:20:00,Peak Time,Yes,4,16
RD3933,MG Road,9:12 AM,00:29:00,Peak Time,No,11,0
RD3934,MG Road,10:16 AM,00:26:00,Peak Time,No,9,0
RD3935,MG Road,8:29 AM,00:15:00,Peak Time,Yes,4,11
RD3936,MG Road,10:18 AM,00:27:00,Peak Time,No,8,0
RD3937,MG Road,8:20 AM,00:34:00,Peak Time,No,14,0
RD3938,MG Road,8:57 AM,00:23:00,Peak Time,Yes,5,18
RD3939,MG Road,8:38 AM,00:29:00,Peak Time,Yes,6,23
RD3940,MG Road,10:03 AM,00:54:00,Peak Time,Yes,14,40
RD3941,MG Road,9:02 AM,00:25:00,Peak Time,Yes,6,19
RD3942,MG Road,10:33 AM,00:22:00,Peak Time,No,8,0
RD3943,MG Road,8:26 AM,00:26:00,Peak Time,Yes,7,19
RD3944,MG Road,10:13 AM,00:21:00,Peak Time,No,6,0
RD3945,MG Road,8:02 AM,00:26:00,Peak Time,No,11,0
RD3946,MG Road,9:04 AM,00:21:00,Peak Time,Yes,7,14
RD3947,MG Road,10:14 AM,00:22:00,Peak Time,No,7,0
RD3948,MG Road,8:30 AM,00:18:00,Peak Time,Yes,6,12
RD3949,MG Road,10:03 AM,00:20:00,Peak Time,Yes,5,15
RD3950,MG Road,8:55 AM,00:21:00,Peak Time,No,6,0
RD3951,MG Road,9:24 AM,00:27:00,Peak Time,No,9,0
RD3952,MG Road,8:16 AM,00:22:00,Peak Time,No,8,0
RD3953,MG Road,10:19 AM,00:17:00,Peak Time,No,7,0
RD3954,MG Road,9:02 AM,00:28:00,Peak Time,Yes,7,21
RD3955,MG Road,9:31 AM,00:28:00,Peak Time,Yes,6,22
RD3956,MG Road,8:08 AM,00:58:00,Peak Time,No,24,0
RD3957,MG Road,9:39 AM,00:23:00,Peak Time,Yes,6,17
RD3958,MG Road,9:58 AM,00:21:00,Peak Time,No,12,0
RD3959,MG Road,9:39 AM,00:16:00,Peak Time,Yes,3,13
RD3960,MG Road,9:15 AM,00:23:00,Peak Time,No,10,0
RD3961,MG Road,10:13 AM,00:16:00,Peak Time,No,4,0
RD3962,MG Road,8:38 AM,00:26:00,Peak Time,Yes,5,21
RD3963,MG Road,2:28 PM,00:14:00,Non-Peak Time,No,5,0
RD3964,MG Road,12:06 PM,00:17:00,Non-Peak Time,Yes,3,14
RD3965,MG Road,11:51 AM,00:08:00,Non-Peak Time,Yes,2,6
RD3966,MG Road,1:44 PM,00:10:00,Non-Peak Time,Yes,2,8
RD3967,MG Road,2:50 PM,00:11:00,Non-Peak Time,Yes,3,8
RD3968,MG Road,2:30 PM,00:19:00,Non-Peak Time,Yes,5,14
RD3969,MG Road,11:09 AM,00:17:00,Non-Peak Time,Yes,3,14
RD3970,MG Road,12:20 PM,00:14:00,Non-Peak Time,Yes,5,9
RD3971,MG Road,2:26 PM,00:16:00,Non-Peak Time,No,6,0
RD3972,MG Road,11:38 AM,00:17:00,Non-Peak Time,No,4,0
RD3973,MG Road,2:02 PM,00:13:00,Non-Peak Time,Yes,3,10
RD3974,MG Road,12:40 PM,00:13:00,Non-Peak Time,Yes,3,10
RD3975,MG Road,11:40 AM,00:16:00,Non-Peak Time,Yes,4,12
RD3976,MG Road,1:56 PM,00:19:00,Non-Peak Time,Yes,6,13
RD3977,MG Road,11:29 AM,00:07:00,Non-Peak Time,Yes,1,6
RD3978,MG Road,1:37 PM,00:17:00,Non-Peak Time,No,8,0
RD3979,MG Road,9:44 PM,00:52:00,Non-Peak Time,No,15,0
RD3980,MG Road,5:33 PM,00:58:00,Peak Time,Yes,19,39
RD3981,MG Road,8:47 PM,00:17:00,Non-Peak Time,Yes,3,14
RD3982,MG Road,7:23 PM,00:17:00,Peak Time,Yes,4,13
RD3983,MG Road,9:08 PM,00:16:00,Non-Peak Time,Yes,4,12
RD3984,MG Road,9:11 PM,00:15:00,Non-Peak Time,Yes,5,10
RD3985,MG Road,5:15 PM,00:23:00,Peak Time,Yes,8,15
RD3986,MG Road,8:07 PM,00:29:00,Non-Peak Time,Yes,7,22
RD3987,MG Road,4:33 PM,00:15:00,Peak Time,No,8,0
RD3988,MG Road,4:00 PM,00:15:00,Peak Time,No,8,0
RD3989,MG Road,4:30 PM,00:15:00,Peak Time,No,8,0
RD3990,MG Road,4:55 PM,00:28:00,Peak Time,Yes,6,22
RD3991,MG Road,9:24 PM,00:21:00,Non-Peak Time,Yes,7,14
RD3992,MG Road,4:56 PM,00:26:00,Peak Time,Yes,5,21
RD3993,MG Road,4:28 PM,00:17:00,Peak Time,No,8,0
RD3994,MG Road,6:59 PM,00:26:00,Peak Time,No,8,0
RD3995,MG Road,5:35 PM,00:25:00,Peak Time,Yes,6,19
RD3996,MG Road,4:49 PM,00:23:00,Peak Time,Yes,8,15
RD3997,MG Road,6:36 PM,00:16:00,Peak Time,Yes,5,11
RD3998,MG Road,7:46 PM,00:18:00,Peak Time,Yes,5,13
RD3999,MG Road,9:17 PM,00:19:00,Non-Peak Time,Yes,6,13
RD4000,MG Road,5:47 PM,00:27:00,Peak Time,Yes,7,20
RD4001,MG Road,4:53 PM,00:27:00,Peak Time,Yes,9,18
RD4002,MG Road,4:23 PM,00:22:00,Peak Time,Yes,4,18
RD4003,MG Road,8:05 PM,00:17:00,Non-Peak Time,Yes,6,11
RD4004,MG Road,5:17 PM,00:15:00,Peak Time,No,7,0
RD4005,MG Road,6:27 PM,00:27:00,Peak Time,Yes,9,18
RD4006,MG Road,8:49 PM,00:18:00,Non-Peak Time,Yes,4,14
RD4007,MG Road,5:23 PM,00:23:00,Peak Time,No,8,0
RD4008,MG Road,7:34 PM,00:15:00,Peak Time,No,5,0
RD4009,MG Road,2:01 AM,00:07:00,Non-Peak Time,Yes,2,5
RD4010,MG Road,1:11 AM,00:07:00,Non-Peak Time,Yes,1,6
RD4011,MG Road,3:43 AM,00:15:00,Non-Peak Time,Yes,5,10
RD4012,MG Road,4:44 AM,00:06:00,Non-Peak Time,No,3,0
RD4013,MG Road,4:34 AM,00:10:00,Non-Peak Time,Yes,2,8
RD4014,MG Road,4:10 AM,00:13:00,Non-Peak Time,Yes,4,9
RD4015,MG Road,4:22 AM,00:07:00,Non-Peak Time,Yes,1,6
RD4016,MG Road,4:32 AM,00:17:00,Non-Peak Time,Yes,6,11
RD4017,MG Road,1:32 AM,00:15:00,Non-Peak Time,Yes,3,12
RD4018,MG Road,4:13 AM,00:15:00,Non-Peak Time,No,6,0
RD4019,MG Road,3:04 AM,00:10:00,Non-Peak Time,Yes,2,8
RD4020,MG Road,2:24 AM,00:17:00,Non-Peak Time,Yes,3,14
RD4021,MG Road,10:47 PM,00:09:00,Non-Peak Time,No,4,0
RD4022,MG Road,6:03 AM,00:15:00,Non-Peak Time,Yes,5,10
RD4023,MG Road,6:05 AM,00:11:00,Non-Peak Time,Yes,2,9
RD4024,MG Road,5:38 AM,00:06:00,Non-Peak Time,Yes,1,5
RD4025,MG Road,6:38 AM,00:18:00,Non-Peak Time,Yes,4,14
RD4026,MG Road,6:21 AM,00:11:00,Non-Peak Time,Yes,2,9
RD4027,MG Road,7:46 AM,00:06:00,Non-Peak Time,Yes,2,4
RD4028,MG Road,6:23 AM,00:09:00,Non-Peak Time,No,4,0
RD4029,MG Road,5:39 AM,00:19:00,Non-Peak Time,Yes,4,15
RD4030,MG Road,6:27 AM,00:16:00,Non-Peak Time,Yes,3,13
RD4031,MG Road,7:55 AM,00:19:00,Non-Peak Time,Yes,4,15
RD4032,MG Road,6:19 AM,00:14:00,Non-Peak Time,No,5,0
RD4033,MG Road,6:33 AM,00:19:00,Non-Peak Time,No,11,0
RD4034,MG Road,6:27 AM,00:28:00,Non-Peak Time,No,13,0
RD4035,MG Road,6:06 AM,00:06:00,Non-Peak Time,Yes,2,4
RD4036,MG Road,10:07 AM,00:17:00,Peak Time,Yes,6,11
RD4037,MG Road,10:31 AM,00:27:00,Peak Time,No,10,0
RD4038,MG Road,10:31 AM,00:24:00,Peak Time,No,9,0
RD4039,MG Road,9:37 AM,00:24:00,Peak Time,No,10,0
RD4040,MG Road,9:02 AM,00:16:00,Peak Time,Yes,4,12
RD4041,MG Road,10:17 AM,00:17:00,Peak Time,Yes,4,13
RD4042,MG Road,10:23 AM,00:19:00,Peak Time,No,9,0
RD4043,MG Road,10:54 AM,00:17:00,Peak Time,Yes,6,11
RD4044,MG Road,9:24 AM,00:58:00,Peak Time,Yes,15,43
RD4045,MG Road,8:46 AM,00:20:00,Peak Time,Yes,4,16
RD4046,MG Road,8:59 AM,00:25:00,Peak Time,Yes,5,20
RD4047,MG Road,8:59 AM,00:19:00,Peak Time,No,9,0
RD4048,MG Road,8:47 AM,00:27:00,Peak Time,No,8,0
RD4049,MG Road,10:05 AM,00:25:00,Peak Time,No,10,0
RD4050,MG Road,8:36 AM,00:21:00,Peak Time,Yes,4,17
RD4051,MG Road,10:46 AM,00:28:00,Peak Time,Yes,7,21
RD4052,MG Road,10:30 AM,00:20:00,Peak Time,Yes,7,13
RD4053,MG Road,9:30 AM,00:21:00,Peak Time,No,7,0
RD4054,MG Road,10:10 AM,00:18:00,Peak Time,Yes,5,13
RD4055,MG Road,10:44 AM,00:23:00,Peak Time,No,7,0
RD4056,MG Road,10:13 AM,00:52:00,Peak Time,Yes,17,35
RD4057,MG Road,9:05 AM,00:20:00,Peak Time,Yes,5,15
RD4058,MG Road,10:51 AM,00:20:00,Peak Time,No,10,0
RD4059,MG Road,8:40 AM,00:29:00,Peak Time,No,9,0
RD4060,MG Road,10:12 AM,00:27:00,Peak Time,Yes,7,20
RD4061,MG Road,10:21 AM,00:23:00,Peak Time,Yes,6,17
RD4062,MG Road,9:00 AM,00:20:00,Peak Time,Yes,5,15
RD4063,MG Road,8:56 AM,00:27:00,Peak Time,No,10,0
RD4064,MG Road,8:16 AM,00:16:00,Peak Time,Yes,3,13
RD4065,MG Road,10:13 AM,00:24:00,Peak Time,No,13,0
RD4066,MG Road,8:42 AM,00:16:00,Peak Time,No,6,0
RD4067,MG Road,10:12 AM,00:19:00,Peak Time,No,9,0
RD4068,MG Road,8:14 AM,00:27:00,Peak Time,No,10,0
RD4069,MG Road,10:29 AM,00:28:00,Peak Time,Yes,6,22
RD4070,MG Road,9:53 AM,00:25:00,Peak Time,Yes,5,20
RD4071,MG Road,1:26 PM,00:09:00,Non-Peak Time,Yes,3,6
RD4072,MG Road,11:25 AM,00:15:00,Non-Peak Time,Yes,5,10
RD4073,MG Road,11:42 AM,00:05:00,Non-Peak Time,No,5,0
RD4074,MG Road,2:23 PM,00:17:00,Non-Peak Time,Yes,4,13
RD4075,MG Road,11:19 AM,00:13:00,Non-Peak Time,No,5,0
RD4076,MG Road,3:24 PM,00:16:00,Non-Peak Time,Yes,5,11
RD4077,MG Road,11:04 AM,00:14:00,Non-Peak Time,Yes,4,10
RD4078,MG Road,3:24 PM,00:17:00,Non-Peak Time,Yes,6,11
RD4079,MG Road,1:48 PM,00:17:00,Non-Peak Time,Yes,4,13
RD4080,MG Road,11:17 AM,00:05:00,Non-Peak Time,No,3,0
RD4081,MG Road,11:10 AM,00:07:00,Non-Peak Time,Yes,1,6
RD4082,MG Road,12:22 PM,00:16:00,Non-Peak Time,Yes,4,12
RD4083,MG Road,12:30 PM,00:06:00,Non-Peak Time,Yes,2,4
RD4084,MG Road,7:18 PM,00:21:00,Peak Time,Yes,5,16
RD4085,MG Road,9:19 PM,00:29:00,Non-Peak Time,Yes,6,23
RD4086,MG Road,8:01 PM,00:25:00,Non-Peak Time,Yes,5,20
RD4087,MG Road,5:59 PM,00:24:00,Peak Time,Yes,8,16
RD4088,MG Road,4:36 PM,00:20:00,Peak Time,No,7,0
RD4089,MG Road,6:59 PM,00:21:00,Peak Time,Yes,7,14
RD4090,MG Road,6:35 PM,00:26:00,Peak Time,No,6,0
RD4091,MG Road,6:56 PM,00:29:00,Peak Time,Yes,10,19
RD4092,MG Road,9:41 PM,00:29:00,Non-Peak Time,No,12,0
RD4093,MG Road,6:47 PM,00:20:00,Peak Time,Yes,5,15
RD4094,MG Road,7:15 PM,00:17:00,Peak Time,No,8,0
RD4095,MG Road,9:58 PM,00:21:00,Non-Peak Time,Yes,4,17
RD4096,MG Road,7:26 PM,00:27:00,Peak Time,Yes,7,20
RD4097,MG Road,4:10 PM,00:23:00,Peak Time,No,10,0
RD4098,MG Road,6:22 PM,00:16:00,Peak Time,Yes,5,11
RD4099,MG Road,9:25 PM,00:18:00,Non-Peak Time,Yes,5,13
RD4100,MG Road,6:44 PM,00:15:00,Peak Time,No,8,0
RD4101,MG Road,4:20 PM,00:18:00,Peak Time,Yes,6,12
RD4102,MG Road,6:46 PM,00:29:00,Peak Time,Yes,7,22
RD4103,MG Road,9:24 PM,00:29:00,Non-Peak Time,Yes,7,22
RD4104,MG Road,6:03 PM,00:22:00,Peak Time,No,11,0
RD4105,MG Road,6:28 PM,00:29:00,Peak Time,No,9,0
RD4106,MG Road,6:19 PM,00:15:00,Peak Time,Yes,3,12
RD4107,MG Road,8:13 PM,00:23:00,Non-Peak Time,Yes,5,18
RD4108,MG Road,6:59 PM,00:20:00,Peak Time,Yes,7,13
RD4109,MG Road,4:44 PM,00:25:00,Peak Time,Yes,6,19
RD4110,MG Road,5:19 PM,00:21:00,Peak Time,No,9,0
RD4111,MG Road,4:05 PM,00:29:00,Peak Time,No,13,0
RD4112,MG Road,9:11 PM,00:29:00,Non-Peak Time,Yes,10,19
RD4113,MG Road,6:19 PM,00:24:00,Peak Time,Yes,5,19
RD4114,MG Road,4:56 PM,00:22:00,Peak Time,Yes,6,16
RD4115,MG Road,4:51 PM,00:19:00,Peak Time,Yes,6,13
RD4116,MG Road,10:05 PM,00:18:00,Non-Peak Time,Yes,4,14
RD4117,MG Road,11:43 PM,00:15:00,Non-Peak Time,Yes,3,12
RD4118,MG Road,4:32 AM,00:14:00,Non-Peak Time,Yes,5,9
RD4119,MG Road,1:36 AM,00:13:00,Non-Peak Time,Yes,4,9
RD4120,MG Road,4:29 AM,00:20:00,Non-Peak Time,Yes,4,16
RD4121,MG Road,3:11 AM,00:09:00,Non-Peak Time,No,6,0
RD4122,MG Road,12:18 AM,00:07:00,Non-Peak Time,Yes,1,6
RD4123,MG Road,4:52 AM,00:16:00,Non-Peak Time,Yes,5,11
RD4124,MG Road,11:02 PM,00:19:00,Non-Peak Time,No,8,0
RD4125,MG Road,10:16 PM,00:05:00,Non-Peak Time,Yes,1,4
RD4126,MG Road,4:24 AM,00:16:00,Non-Peak Time,Yes,3,13
RD4127,MG Road,10:12 PM,00:16:00,Non-Peak Time,Yes,3,13
RD4128,MG Road,12:52 AM,00:07:00,Non-Peak Time,Yes,1,6
RD4129,MG Road,10:38 PM,00:05:00,Non-Peak Time,Yes,1,4
RD4130,MG Road,1:04 AM,00:16:00,Non-Peak Time,Yes,5,11
RD4131,MG Road,11:30 PM,00:06:00,Non-Peak Time,Yes,2,4
RD4132,MG Road,2:56 AM,00:36:00,Non-Peak Time,Yes,12,24
RD4133,HSR Layout,7:41 AM,00:09:00,Non-Peak Time,Yes,2,7
RD4134,HSR Layout,6:59 AM,00:12:00,Non-Peak Time,Yes,4,8
RD4135,HSR Layout,7:18 AM,00:12:00,Non-Peak Time,No,4,0
RD4136,HSR Layout,5:51 AM,00:02:00,Non-Peak Time,Yes,1,1
RD4137,HSR Layout,7:59 AM,00:07:00,Non-Peak Time,Yes,2,5
RD4138,HSR Layout,6:04 AM,00:02:00,Non-Peak Time,Yes,0,2
RD4139,HSR Layout,5:08 AM,00:04:00,Non-Peak Time,Yes,1,3
RD4140,HSR Layout,7:56 AM,00:02:00,Non-Peak Time,Yes,0,2
RD4141,HSR Layout,6:09 AM,00:14:00,Non-Peak Time,Yes,5,9
RD4142,HSR Layout,6:08 AM,00:05:00,Non-Peak Time,Yes,1,4
RD4143,HSR Layout,6:48 AM,00:10:00,Non-Peak Time,Yes,3,7
RD4144,HSR Layout,7:08 AM,00:01:00,Non-Peak Time,Yes,0,1
RD4145,HSR Layout,6:28 AM,00:13:00,Non-Peak Time,Yes,4,9
RD4146,HSR Layout,7:08 AM,00:01:00,Non-Peak Time,Yes,0,1
RD4147,HSR Layout,8:35 AM,00:11:00,Peak Time,Yes,2,9
RD4148,HSR Layout,8:39 AM,00:16:00,Peak Time,Yes,3,13
RD4149,HSR Layout,9:54 AM,00:10:00,Peak Time,No,5,0
RD4150,HSR Layout,8:42 AM,00:15:00,Peak Time,Yes,4,11
RD4151,HSR Layout,8:09 AM,00:17:00,Peak Time,Yes,6,11
RD4152,HSR Layout,9:12 AM,00:13:00,Peak Time,No,9,0
RD4153,HSR Layout,9:43 AM,00:15:00,Peak Time,Yes,3,12
RD4154,HSR Layout,10:11 AM,00:15:00,Peak Time,No,7,0
RD4155,HSR Layout,10:52 AM,00:11:00,Peak Time,No,7,0
RD4156,HSR Layout,10:35 AM,00:15:00,Peak Time,No,6,0
RD4157,HSR Layout,10:57 AM,00:16:00,Peak Time,No,4,0
RD4158,HSR Layout,10:05 AM,00:15:00,Peak Time,Yes,5,10
RD4159,HSR Layout,8:59 AM,00:15:00,Peak Time,Yes,3,12
RD4160,HSR Layout,10:58 AM,00:19:00,Peak Time,Yes,5,14
RD4161,HSR Layout,9:14 AM,00:10:00,Peak Time,Yes,3,7
RD4162,HSR Layout,9:05 AM,00:38:00,Peak Time,Yes,10,28
RD4163,HSR Layout,10:55 AM,00:16:00,Peak Time,No,7,0
RD4164,HSR Layout,10:47 AM,00:24:00,Peak Time,No,7,0
RD4165,HSR Layout,10:32 AM,00:19:00,Peak Time,No,7,0
RD4166,HSR Layout,8:58 AM,00:18:00,Peak Time,No,8,0
RD4167,HSR Layout,10:08 AM,00:38:00,Peak Time,Yes,10,28
